"design","lambda","P_joint"
"Var(s+)_80","0.0301973834223185","2.13174043010923e-10"
"Var(s+)_80","0.0317456363780679","3.17466934633926e-10"
"Var(s+)_80","0.0333732699603261","4.72414910641796e-10"
"Var(s+)_80","0.035084354100845","7.03936063331633e-10"
"Var(s+)_80","0.03688316740124","1.04965612469764e-09"
"Var(s+)_80","0.038774207831722","1.55938960465596e-09"
"Var(s+)_80","0.0407622039783662","2.32976446669173e-09"
"Var(s+)_80","0.0428521268670402","3.45823679499073e-09"
"Var(s+)_80","0.0450492023935578","5.14260334444518e-09"
"Var(s+)_80","0.0473589243911409","7.62340448362818e-09"
"Var(s+)_80","0.0497870683678639","1.13549781359452e-08"
"Var(s+)_80","0.0523397059484324","1.68591628815031e-08"
"Var(s+)_80","0.0550232200564072","2.50415438408411e-08"
"Var(s+)_80","0.0578443208748385","3.71939785915195e-08"
"Var(s+)_80","0.060810062625218","5.5120951561976e-08"
"Var(s+)_80","0.0639278612067076","8.15057567105096e-08"
"Var(s+)_80","0.0672055127397498","1.20967349059481e-07"
"Var(s+)_80","0.0706512130604296","1.79006890394548e-07"
"Var(s+)_80","0.0742735782143339","2.64568527184868e-07"
"Var(s+)_80","0.0780816660011532","3.90220986562692e-07"
"Var(s+)_80","0.0820849986238988","5.77698653136958e-07"
"Var(s+)_80","0.0862935864993705","8.51574487198056e-07"
"Var(s+)_80","0.0907179532894125","1.25677269679147e-06"
"Var(s+)_80","0.0953691622155496","1.84546933564534e-06"
"Var(s+)_80","0.100258843722804","2.70492983239894e-06"
"Var(s+)_80","0.105399224561864","3.97032350862562e-06"
"Var(s+)_80","0.110803158362334","5.82054944167352e-06"
"Var(s+)_80","0.116484157773497","8.50201604656096e-06"
"Var(s+)_80","0.122456428252982","1.23945041820988e-05"
"Var(s+)_80","0.128734903587804","1.80295513432606e-05"
"Var(s+)_80","0.135335283236613","2.6118262569273e-05"
"Var(s+)_80","0.142274071586514","3.77622337084434e-05"
"Var(s+)_80","0.149568619222635","5.44710312591624e-05"
"Var(s+)_80","0.157237166313628","7.82451381420919e-05"
"Var(s+)_80","0.165298888221587","0.000112194277135665"
"Var(s+)_80","0.173773943450445","0.000160583948300577"
"Var(s+)_80","0.182683524052735","0.000228404020838814"
"Var(s+)_80","0.192049908620754","0.000322469634569175"
"Var(s+)_80","0.201896517994655","0.000451509463934598"
"Var(s+)_80","0.212247973826743","0.000633877694301872"
"Var(s+)_80","0.22313016014843","0.000880304412916602"
"Var(s+)_80","0.234570288093798","0.00121764179209448"
"Var(s+)_80","0.246596963941606","0.00167202160342748"
"Var(s+)_80","0.259240260645892","0.00227725313435514"
"Var(s+)_80","0.272531793034013","0.00307742384337013"
"Var(s+)_80","0.28650479686019","0.00412312387691609"
"Var(s+)_80","0.301194211912202","0.00548187716092772"
"Var(s+)_80","0.316636769379053","0.00722488435020268"
"Var(s+)_80","0.33287108369808","0.00942133882297578"
"Var(s+)_80","0.349937749111155","0.012165603060386"
"Var(s+)_80","0.367879441171442","0.015546834301269"
"Var(s+)_80","0.386741023454501","0.0196455576376167"
"Var(s+)_80","0.406569659740599","0.0245547050169874"
"Var(s+)_80","0.427414931948727","0.0303435382651188"
"Var(s+)_80","0.449328964117222","0.0370785048056861"
"Var(s+)_80","0.472366552741015","0.0447807579993003"
"Var(s+)_80","0.49658530379141","0.0534699256183282"
"Var(s+)_80","0.522045776761016","0.0630912584901404"
"Var(s+)_80","0.548811636094027","0.0736161460014362"
"Var(s+)_80","0.576949810380487","0.0850082029316904"
"Var(s+)_80","0.606530659712633","0.0970932962739115"
"Var(s+)_80","0.637628151621773","0.109778502080834"
"Var(s+)_80","0.67032004603564","0.12290805010674"
"Var(s+)_80","0.704688089718714","0.136317097636177"
"Var(s+)_80","0.740818220681718","0.149863771431708"
"Var(s+)_80","0.778800783071405","0.163404266001325"
"Var(s+)_80","0.818730753077982","0.176756245738634"
"Var(s+)_80","0.860707976425058","0.189801639625082"
"Var(s+)_80","0.90483741803596","0.202432255488372"
"Var(s+)_80","0.951229424500714","0.214521234258721"
"Var(s+)_80","1","0.226011067063749"
"Var(s+)_80","1.05127109637602","0.236844372343622"
"Var(s+)_80","1.10517091807565","0.247016278071874"
"Var(s+)_80","1.16183424272828","0.256452247176843"
"Var(s+)_80","1.22140275816017","0.265199870270072"
"Var(s+)_80","1.28402541668774","0.273234634595878"
"Var(s+)_80","1.349858807576","0.280543428360486"
"Var(s+)_80","1.41906754859326","0.287111565897277"
"Var(s+)_80","1.49182469764127","0.292886114427035"
"Var(s+)_80","1.56831218549017","0.297795926116334"
"Var(s+)_80","1.64872127070013","0.301673091238324"
"Var(s+)_80","1.7332530178674","0.304306283154305"
"Var(s+)_80","1.82211880039051","0.305403939323414"
"Var(s+)_80","1.9155408290139","0.304686225608336"
"Var(s+)_80","2.01375270747048","0.30188389248293"
"Var(s+)_80","2.11700001661267","0.296746428793182"
"Var(s+)_80","2.22554092849247","0.288918411820143"
"Var(s+)_80","2.33964685192599","0.277781040014053"
"Var(s+)_80","2.45960311115695","0.262472870666641"
"Var(s+)_80","2.58570965931585","0.242186943024442"
"Var(s+)_80","2.71828182845905","0.216483687978147"
"Var(s+)_80","2.85765111806317","0.18566590199702"
"Var(s+)_80","3.00416602394643","0.151530018667256"
"Var(s+)_80","3.15819290968977","0.11761640379262"
"Var(s+)_80","3.32011692273655","0.0874997989148556"
"Var(s+)_80","3.49034295746184","0.0625825036096823"
"Var(s+)_80","3.66929666761925","0.0426472983082032"
"Var(s+)_80","3.85742553069698","0.0276172339618815"
"Var(s+)_80","4.05519996684468","0.0172242038299523"
"Var(s+)_80","4.26311451516882","0.0104634697999111"
"Var(s+)_80","4.48168907033806","0.00618892242965977"
"Var(s+)_80","4.71147018259074","0.00338916342266895"
"Var(s+)_80","4.95303242439512","0.00151960735086212"
"Var(s+)_80","5.20697982717985","0.000480741142326607"
"Var(s+)_80","5.4739473917272","9.10252671523612e-05"
"Var(s+)_80","5.75460267600573","8.7988600584613e-06"
"Var(s+)_80","6.04964746441295","3.48020303183152e-07"
"Var(s+)_80","6.35981952260184","3.67794066511824e-09"
"Var(s+)_80","6.68589444227927","6.30889541083455e-12"
"Var(s+)_80","7.02868758058929","9.06265684538091e-16"
"Var(s+)_80","7.38905609893065","4.21925621559645e-21"
"Var(s+)_40","0.0111089965382423","1.27509858524472e-13"
"Var(s+)_40","0.0116785669703954","1.89998940907967e-13"
"Var(s+)_40","0.0122773399030684","2.8357832631598e-13"
"Var(s+)_40","0.0129068125804799","4.22480696745451e-13"
"Var(s+)_40","0.0135685590122009","6.29685597114153e-13"
"Var(s+)_40","0.0142642339089993","9.40866628117063e-13"
"Var(s+)_40","0.0149955768204777","1.39898921986673e-12"
"Var(s+)_40","0.0157644164848545","2.0901874187248e-12"
"Var(s+)_40","0.0165726754017613","3.1142840194289e-12"
"Var(s+)_40","0.0174223746394935","4.64133106808413e-12"
"Var(s+)_40","0.0183156388887342","6.92409092124158e-12"
"Var(s+)_40","0.0192547017753869","1.0319520093723e-11"
"Var(s+)_40","0.0202419114458044","1.53972390502348e-11"
"Var(s+)_40","0.0212797364383772","2.28578342282283e-11"
"Var(s+)_40","0.0223707718561656","3.41143935812606e-11"
"Var(s+)_40","0.0235177458560091","5.06738815421211e-11"
"Var(s+)_40","0.0247235264703394","7.57584943187098e-11"
"Var(s+)_40","0.0259911287787553","1.12561291854437e-10"
"Var(s+)_40","0.0273237224472926","1.67752588929442e-10"
"Var(s+)_40","0.0287246396542394","2.48943689633912e-10"
"Var(s+)_40","0.0301973834223185","3.71355561660795e-10"
"Var(s+)_40","0.0317456363780679","5.52508226730461e-10"
"Var(s+)_40","0.0333732699603261","8.2190234608029e-10"
"Var(s+)_40","0.035084354100845","1.22460023555646e-09"
"Var(s+)_40","0.03688316740124","1.81737905943537e-09"
"Var(s+)_40","0.038774207831722","2.69745863045914e-09"
"Var(s+)_40","0.0407622039783662","4.00630158181453e-09"
"Var(s+)_40","0.0428521268670402","5.9573636851798e-09"
"Var(s+)_40","0.0450492023935578","8.79702774075944e-09"
"Var(s+)_40","0.0473589243911409","1.31083396974986e-08"
"Var(s+)_40","0.0497870683678639","1.94096287150176e-08"
"Var(s+)_40","0.0523397059484324","2.86218811429158e-08"
"Var(s+)_40","0.0550232200564072","4.24744805165253e-08"
"Var(s+)_40","0.0578443208748385","6.28637720339906e-08"
"Var(s+)_40","0.060810062625218","9.28943987484453e-08"
"Var(s+)_40","0.0639278612067076","1.36927592820481e-07"
"Var(s+)_40","0.0672055127397498","2.01550802512356e-07"
"Var(s+)_40","0.0706512130604296","2.96474289116954e-07"
"Var(s+)_40","0.0742735782143339","4.34727998338977e-07"
"Var(s+)_40","0.0780816660011532","6.39883370292401e-07"
"Var(s+)_40","0.0820849986238988","9.37024181630845e-07"
"Var(s+)_40","0.0862935864993705","1.36981004616383e-06"
"Var(s+)_40","0.0907179532894125","2.00094441935964e-06"
"Var(s+)_40","0.0953691622155496","2.90860346368368e-06"
"Var(s+)_40","0.100258843722804","4.22613213179853e-06"
"Var(s+)_40","0.105399224561864","6.12792005122028e-06"
"Var(s+)_40","0.110803158362334","8.85419242597604e-06"
"Var(s+)_40","0.116484157773497","1.27195656447384e-05"
"Var(s+)_40","0.122456428252982","1.83171238110604e-05"
"Var(s+)_40","0.128734903587804","2.61019193174106e-05"
"Var(s+)_40","0.135335283236613","3.72769713272933e-05"
"Var(s+)_40","0.142274071586514","5.27188003595133e-05"
"Var(s+)_40","0.149568619222635","7.4396134608804e-05"
"Var(s+)_40","0.157237166313628","0.00010429916971255"
"Var(s+)_40","0.165298888221587","0.000145739384699583"
"Var(s+)_40","0.173773943450445","0.000201753123203169"
"Var(s+)_40","0.182683524052735","0.00027769864647574"
"Var(s+)_40","0.192049908620754","0.000380212395007415"
"Var(s+)_40","0.201896517994655","0.000515235325182115"
"Var(s+)_40","0.212247973826743","0.000695012202078098"
"Var(s+)_40","0.22313016014843","0.000927034298834528"
"Var(s+)_40","0.234570288093798","0.00122622878836978"
"Var(s+)_40","0.246596963941606","0.00160532727372278"
"Var(s+)_40","0.259240260645892","0.00208270385130492"
"Var(s+)_40","0.272531793034013","0.00267407642943025"
"Var(s+)_40","0.28650479686019","0.0033969226743033"
"Var(s+)_40","0.301194211912202","0.00426532993007929"
"Var(s+)_40","0.316636769379053","0.00530070817795136"
"Var(s+)_40","0.33287108369808","0.00651575775177268"
"Var(s+)_40","0.349937749111155","0.00791860996164334"
"Var(s+)_40","0.367879441171442","0.00952275862836762"
"Var(s+)_40","0.386741023454501","0.0113400456597117"
"Var(s+)_40","0.406569659740599","0.0133707190708274"
"Var(s+)_40","0.427414931948727","0.0156296896991514"
"Var(s+)_40","0.449328964117222","0.0181223962730554"
"Var(s+)_40","0.472366552741015","0.0208661132425149"
"Var(s+)_40","0.49658530379141","0.0238834597120064"
"Var(s+)_40","0.522045776761016","0.027196123733078"
"Var(s+)_40","0.548811636094027","0.0308393691899309"
"Var(s+)_40","0.576949810380487","0.0348543193416612"
"Var(s+)_40","0.606530659712633","0.0392798427439255"
"Var(s+)_40","0.637628151621773","0.0441543711658506"
"Var(s+)_40","0.67032004603564","0.0495376363309498"
"Var(s+)_40","0.704688089718714","0.055466387582123"
"Var(s+)_40","0.740818220681718","0.0619599459063271"
"Var(s+)_40","0.778800783071405","0.0690710214116734"
"Var(s+)_40","0.818730753077982","0.0767943530208554"
"Var(s+)_40","0.860707976425058","0.0851569739894478"
"Var(s+)_40","0.90483741803596","0.0941289877672065"
"Var(s+)_40","0.951229424500714","0.103689059161594"
"Var(s+)_40","1","0.113803285904006"
"Var(s+)_40","1.05127109637602","0.124407064515424"
"Var(s+)_40","1.10517091807565","0.135442202705892"
"Var(s+)_40","1.16183424272828","0.146807303684864"
"Var(s+)_40","1.22140275816017","0.158425091728555"
"Var(s+)_40","1.28402541668774","0.170169368020479"
"Var(s+)_40","1.349858807576","0.181949694347826"
"Var(s+)_40","1.41906754859326","0.19365776542373"
"Var(s+)_40","1.49182469764127","0.205160996580357"
"Var(s+)_40","1.56831218549017","0.216377708501188"
"Var(s+)_40","1.64872127070013","0.227222733760005"
"Var(s+)_40","1.7332530178674","0.237597178634013"
"Var(s+)_40","1.82211880039051","0.247446116102845"
"Var(s+)_40","1.9155408290139","0.256705811104457"
"Var(s+)_40","2.01375270747048","0.265376548576772"
"Var(s+)_40","2.11700001661267","0.273404070362536"
"Var(s+)_40","2.22554092849247","0.280778548352099"
"Var(s+)_40","2.33964685192599","0.287465172024177"
"Var(s+)_40","2.45960311115695","0.29338514320426"
"Var(s+)_40","2.58570965931585","0.298347474859647"
"Var(s+)_40","2.71828182845905","0.301986486087669"
"Var(s+)_40","2.85765111806317","0.303742689218528"
"Var(s+)_40","3.00416602394643","0.302786443410241"
"Var(s+)_40","3.15819290968977","0.298048095741537"
"Var(s+)_40","3.32011692273655","0.288269270925098"
"Var(s+)_40","3.49034295746184","0.272161839785141"
"Var(s+)_40","3.66929666761925","0.248848435437007"
"Var(s+)_40","3.85742553069698","0.218505294150559"
"Var(s+)_40","4.05519996684468","0.182704262044722"
"Var(s+)_40","4.26311451516882","0.144019531894121"
"Var(s+)_40","4.48168907033806","0.105374002262762"
"Var(s+)_40","4.71147018259074","0.070147631747228"
"Var(s+)_40","4.95303242439512","0.0419205537056186"
"Var(s+)_40","5.20697982717985","0.0225728565641607"
"Var(s+)_40","5.4739473917272","0.0111402076087809"
"Var(s+)_40","5.75460267600573","0.00509739618506238"
"Var(s+)_40","6.04964746441295","0.00201366646671997"
"Var(s+)_40","6.35981952260184","0.000544008600905872"
"Var(s+)_40","6.68589444227927","7.5552709971186e-05"
"Var(s+)_40","7.02868758058929","3.18318255043467e-06"
"Var(s+)_40","7.38905609893065","1.43679245946367e-08"
"Var(s+)_20","0.0111089965382423","2.35880481972017e-13"
"Var(s+)_20","0.0116785669703954","3.51192251225057e-13"
"Var(s+)_20","0.0122773399030684","5.24490992841871e-13"
"Var(s+)_20","0.0129068125804799","7.8027862293793e-13"
"Var(s+)_20","0.0135685590122009","1.16462226097249e-12"
"Var(s+)_20","0.0142642339089993","1.73642321585163e-12"
"Var(s+)_20","0.0149955768204777","2.59007620007027e-12"
"Var(s+)_20","0.0157644164848545","3.86094387433762e-12"
"Var(s+)_20","0.0165726754017613","5.75003170091616e-12"
"Var(s+)_20","0.0174223746394935","8.53827814771055e-12"
"Var(s+)_20","0.0183156388887342","1.27654181476769e-11"
"Var(s+)_20","0.0192547017753869","1.90299454525393e-11"
"Var(s+)_20","0.0202419114458044","2.83122804110398e-11"
"Var(s+)_20","0.0212797364383772","4.2177873480681e-11"
"Var(s+)_20","0.0223707718561656","6.2622862393418e-11"
"Var(s+)_20","0.0235177458560091","9.33918325428785e-11"
"Var(s+)_20","0.0247235264703394","1.39162149682907e-10"
"Var(s+)_20","0.0259911287787553","2.06800968312199e-10"
"Var(s+)_20","0.0273237224472926","3.08337005408699e-10"
"Var(s+)_20","0.0287246396542394","4.57381197009926e-10"
"Var(s+)_20","0.0301973834223185","6.79616843803016e-10"
"Var(s+)_20","0.0317456363780679","1.010291779419e-09"
"Var(s+)_20","0.0333732699603261","1.50069460935208e-09"
"Var(s+)_20","0.035084354100845","2.22960061167161e-09"
"Var(s+)_20","0.03688316740124","3.3047668997029e-09"
"Var(s+)_20","0.038774207831722","4.90732087634834e-09"
"Var(s+)_20","0.0407622039783662","7.26132976023551e-09"
"Var(s+)_20","0.0428521268670402","1.07549548820773e-08"
"Var(s+)_20","0.0450492023935578","1.59535700914752e-08"
"Var(s+)_20","0.0473589243911409","2.35273527664819e-08"
"Var(s+)_20","0.0497870683678639","3.47798868256314e-08"
"Var(s+)_20","0.0523397059484324","5.13060264372836e-08"
"Var(s+)_20","0.0550232200564072","7.57846509823993e-08"
"Var(s+)_20","0.0578443208748385","1.11352063240941e-07"
"Var(s+)_20","0.060810062625218","1.63850061468353e-07"
"Var(s+)_20","0.0639278612067076","2.40902140600534e-07"
"Var(s+)_20","0.0672055127397498","3.52993084024189e-07"
"Var(s+)_20","0.0706512130604296","5.16351773198335e-07"
"Var(s+)_20","0.0742735782143339","7.53710159013753e-07"
"Var(s+)_20","0.0780816660011532","1.09956066237071e-06"
"Var(s+)_20","0.0820849986238988","1.59725467775584e-06"
"Var(s+)_20","0.0862935864993705","2.31440473423709e-06"
"Var(s+)_20","0.0907179532894125","3.35691456036884e-06"
"Var(s+)_20","0.0953691622155496","4.84155673878008e-06"
"Var(s+)_20","0.100258843722804","6.95750533439911e-06"
"Var(s+)_20","0.105399224561864","9.96554538256542e-06"
"Var(s+)_20","0.110803158362334","1.42353056368376e-05"
"Var(s+)_20","0.116484157773497","2.01967641831588e-05"
"Var(s+)_20","0.122456428252982","2.85758647555731e-05"
"Var(s+)_20","0.128734903587804","4.03101436122867e-05"
"Var(s+)_20","0.135335283236613","5.64896340087651e-05"
"Var(s+)_20","0.142274071586514","7.86361725922063e-05"
"Var(s+)_20","0.149568619222635","0.000108836799321839"
"Var(s+)_20","0.157237166313628","0.000150424553813249"
"Var(s+)_20","0.165298888221587","0.000205526794468044"
"Var(s+)_20","0.173773943450445","0.000278136713007736"
"Var(s+)_20","0.182683524052735","0.000374379668431272"
"Var(s+)_20","0.192049908620754","0.000500193022615719"
"Var(s+)_20","0.201896517994655","0.000662808298209852"
"Var(s+)_20","0.212247973826743","0.000870274486611806"
"Var(s+)_20","0.22313016014843","0.00113027142234423"
"Var(s+)_20","0.234570288093798","0.00145460235467085"
"Var(s+)_20","0.246596963941606","0.00185232461048486"
"Var(s+)_20","0.259240260645892","0.00233328157138248"
"Var(s+)_20","0.272531793034013","0.0029111648935959"
"Var(s+)_20","0.28650479686019","0.00359106744871417"
"Var(s+)_20","0.301194211912202","0.00438126158074602"
"Var(s+)_20","0.316636769379053","0.00528688092688443"
"Var(s+)_20","0.33287108369808","0.00631044851567058"
"Var(s+)_20","0.349937749111155","0.00745652443421771"
"Var(s+)_20","0.367879441171442","0.00872253877180037"
"Var(s+)_20","0.386741023454501","0.0101048352352165"
"Var(s+)_20","0.406569659740599","0.0116088832680897"
"Var(s+)_20","0.427414931948727","0.0132338416064516"
"Var(s+)_20","0.449328964117222","0.0149797760343689"
"Var(s+)_20","0.472366552741015","0.0168605826857528"
"Var(s+)_20","0.49658530379141","0.0188719853276278"
"Var(s+)_20","0.522045776761016","0.0210456508513191"
"Var(s+)_20","0.548811636094027","0.0233893121544378"
"Var(s+)_20","0.576949810380487","0.025921812699958"
"Var(s+)_20","0.606530659712633","0.0286568192802468"
"Var(s+)_20","0.637628151621773","0.0316263006829953"
"Var(s+)_20","0.67032004603564","0.0348355041469517"
"Var(s+)_20","0.704688089718714","0.038320911222586"
"Var(s+)_20","0.740818220681718","0.0420639525981514"
"Var(s+)_20","0.778800783071405","0.0461039594591007"
"Var(s+)_20","0.818730753077982","0.0504329215029683"
"Var(s+)_20","0.860707976425058","0.0550642048758113"
"Var(s+)_20","0.90483741803596","0.0599652476543552"
"Var(s+)_20","0.951229424500714","0.0651676802930261"
"Var(s+)_20","1","0.0706366850567818"
"Var(s+)_20","1.05127109637602","0.0763653243072989"
"Var(s+)_20","1.10517091807565","0.0823081486549842"
"Var(s+)_20","1.16183424272828","0.0884569086940718"
"Var(s+)_20","1.22140275816017","0.0947661083728759"
"Var(s+)_20","1.28402541668774","0.101200816878595"
"Var(s+)_20","1.349858807576","0.107736816256041"
"Var(s+)_20","1.41906754859326","0.114308603394649"
"Var(s+)_20","1.49182469764127","0.120881156560139"
"Var(s+)_20","1.56831218549017","0.127399364601987"
"Var(s+)_20","1.64872127070013","0.133828341207615"
"Var(s+)_20","1.7332530178674","0.140103790831624"
"Var(s+)_20","1.82211880039051","0.146196961317274"
"Var(s+)_20","1.9155408290139","0.152028434712921"
"Var(s+)_20","2.01375270747048","0.157569927492029"
"Var(s+)_20","2.11700001661267","0.162750046132888"
"Var(s+)_20","2.22554092849247","0.16751441899812"
"Var(s+)_20","2.33964685192599","0.171778926422935"
"Var(s+)_20","2.45960311115695","0.175451789062649"
"Var(s+)_20","2.58570965931585","0.178412146514237"
"Var(s+)_20","2.71828182845905","0.180465454508122"
"Var(s+)_20","2.85765111806317","0.181340463764028"
"Var(s+)_20","3.00416602394643","0.18064660882191"
"Var(s+)_20","3.15819290968977","0.177919970297538"
"Var(s+)_20","3.32011692273655","0.17272778920678"
"Var(s+)_20","3.49034295746184","0.164789698950101"
