"lambda","design","ME","two_FI","perfect_prob","perfect_me","perfect_2FI"
0.0111089965382423,"BayesD",2,1,0,0,0
0.0122773399030684,"BayesD",2,1,0,0,0
0.0135685590122009,"BayesD",2,1,0,0,0
0.0149955768204777,"BayesD",2,1,0,0,0
0.0165726754017613,"BayesD",2,1,0,0,0.00266666666666667
0.0183156388887342,"BayesD",2,1,0,0,0.0064
0.0202419114458044,"BayesD",2,1,0,0.000266666666666667,0.0141333333333333
0.0223707718561656,"BayesD",2,1,0.000533333333333333,0.00346666666666667,0.0224
0.0247235264703394,"BayesD",2,1,0.0032,0.0229333333333333,0.032
0.0273237224472926,"BayesD",2,1,0.0112,0.0957333333333333,0.0458666666666667
0.0301973834223185,"BayesD",2,1,0.0296,0.215466666666667,0.0672
0.0333732699603261,"BayesD",2,1,0.0525333333333333,0.3792,0.0853333333333333
0.03688316740124,"BayesD",2,1,0.0698666666666667,0.5408,0.0944
0.0407622039783662,"BayesD",2,1,0.0874666666666666,0.675733333333334,0.105066666666667
0.0450492023935578,"BayesD",2,1,0.104533333333333,0.781333333333333,0.115466666666667
0.0497870683678639,"BayesD",2,1,0.115733333333333,0.867200000000001,0.119733333333333
0.0550232200564072,"BayesD",2,1,0.118666666666667,0.914400000000001,0.120266666666667
0.060810062625218,"BayesD",2,1,0.118666666666667,0.941600000000001,0.118933333333333
0.0672055127397498,"BayesD",2,1,0.110933333333333,0.957333333333334,0.111733333333333
0.0742735782143339,"BayesD",2,1,0.0975999999999999,0.954400000000001,0.0986666666666666
0.0820849986238988,"BayesD",2,1,0.0858666666666666,0.940000000000001,0.0871999999999999
0.0907179532894125,"BayesD",2,1,0.0727999999999999,0.913866666666668,0.0738666666666666
0.100258843722804,"BayesD",2,1,0.0597333333333333,0.878133333333334,0.0626666666666666
0.110803158362334,"BayesD",2,1,0.0458666666666667,0.833866666666667,0.0496
0.122456428252982,"BayesD",2,1,0.0304,0.786933333333333,0.0338666666666667
0.135335283236613,"BayesD",2,1,0.016,0.737866666666666,0.0186666666666667
0.149568619222635,"BayesD",2,1,0.00933333333333334,0.6944,0.0114666666666667
0.165298888221587,"BayesD",2,1,0.00533333333333333,0.645866666666667,0.00746666666666667
0.182683524052735,"BayesD",2,1,0.0016,0.593599999999999,0.004
0.201896517994655,"BayesD",2,1,0.00133333333333333,0.547466666666666,0.0032
0.22313016014843,"BayesD",2,1,8e-04,0.5056,0.00266666666666667
0.246596963941606,"BayesD",2,1,0.000266666666666667,0.4624,0.00133333333333333
0.272531793034013,"BayesD",2,1,0.000266666666666667,0.426933333333333,0.00133333333333333
0.301194211912202,"BayesD",2,1,0,0.3864,8e-04
0.33287108369808,"BayesD",2,1,0,0.349866666666667,0.000266666666666667
0.367879441171442,"BayesD",2,1,0,0.3144,0.000266666666666667
0.406569659740599,"BayesD",2,1,0,0.2792,0.000266666666666667
0.449328964117222,"BayesD",2,1,0,0.246666666666667,0
0.49658530379141,"BayesD",2,1,0,0.221866666666667,0
0.548811636094027,"BayesD",2,1,0,0.1896,0
0.606530659712633,"BayesD",2,1,0,0.167466666666667,0
0.67032004603564,"BayesD",2,1,0,0.144266666666667,0
0.740818220681718,"BayesD",2,1,0,0.125066666666666,0
0.818730753077982,"BayesD",2,1,0,0.108,0
0.90483741803596,"BayesD",2,1,0,0.0911999999999998,0
1,"BayesD",2,1,0,0.0794666666666665,0
